% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 4 2020, 22:43"
% Table,Table 2 - Global Evaluation 1
% v_f,E_m (GPa),G_m (GPa),E1_f (GPa),G12_f (GPa),loadcase,group.cp11,group.cp22,group.cp33,group.cp12,group.cp23,group.cp13,Resin Young's modulus (Pa),Resin shear modulus (Pa),"Fiber Young's modulus, 11 direction (Pa)","Fiber shear modulus, 12 direction (Pa)","Elasticity matrix, 11 component (N/m^2)","Elasticity matrix, 22 component (N/m^2)","Elasticity matrix, 44 component (N/m^2)"
0.45,9.17,4.57,50,10,1,1,0,0,0,0,0,9.17E9,4.57E9,5.0E10,1.0E10,2.7543268964897465E10,1.7082488675158691E10,6.428218546662544E9
0.24,6.94,4.800000000000001,94,37,1,1,0,0,0,0,0,6.94E9,4.8E9,9.4E10,3.7E10,2.7833865577792862E10,1.0187495667840622E10,5.194341364362956E9
0.75,7.37,2.31,53,28,1,1,0,0,0,0,0,7.37E9,2.31E9,5.3E10,2.8E10,4.1592422668360306E10,2.873546866784885E10,1.5484694801731043E10
0.15,8.05,3.8600000000000003,84,13,1,1,0,0,0,0,0,8.050000000000001E9,3.86E9,8.4E10,1.3E10,1.9441801368266113E10,1.0057824351754393E10,4.716396670056983E9
0.48,8.5,2.37,61.00000000000001,17,1,1,0,0,0,0,0,8.5E9,2.37E9,6.1E10,1.7E10,3.369968312561047E10,1.779916586118076E10,7.716865284693166E9
0.39,7.260000000000001,3.47,56,43,1,1,0,0,0,0,0,7.26E9,3.47E9,5.6E10,4.3E10,2.6268360984767273E10,1.3117077222956196E10,7.221650508657415E9
0.33,7.44,4.24,106,39,1,1,0,0,0,0,0,7.44E9,4.24E9,1.06E11,3.9E10,3.996396808861383E10,1.2913945197459618E10,6.51701908739141E9
0.56,5.49,4.890000000000001,144,26,1,1,0,0,0,0,0,5.49E9,4.89E9,1.44E11,2.6E10,8.305506873422812E10,1.727417033951725E10,7.46504212867742E9
0.28,9.600000000000001,3.29,147,12,1,1,0,0,0,0,0,9.6E9,3.29E9,1.47E11,1.2E10,4.807101591469246E10,1.5246289275500467E10,6.109678767547747E9
0.33,9.48,4.86,141,45,1,1,0,0,0,0,0,9.48E9,4.86E9,1.41E11,4.5E10,5.288048987752153E10,1.6508848596438454E10,8.20661146679933E9
0.27,8.390000000000002,3.9600000000000004,98,43,1,1,0,0,0,0,0,8.390000000000001E9,3.96E9,9.8E10,4.3E10,3.2584081165137924E10,1.2859905965907946E10,6.592877098341458E9
0.71,8.74,4.22,66,21,1,1,0,0,0,0,0,8.74E9,4.2199999999999995E9,6.6E10,2.1E10,4.939447723085864E10,3.098439493405848E10,1.2519309214364172E10
0.69,5.12,1.6400000000000001,125.00000000000001,44,1,1,0,0,0,0,0,5.12E9,1640000000,1.25E11,4.4E10,8.783686684946707E10,2.5704045840586956E10,1.2196286909760149E10
0.62,7.29,3.74,144,21,1,1,0,0,0,0,0,7.29E9,3.74E9,1.44E11,2.1E10,9.204961945200758E10,2.6544205831283752E10,9.534609859663675E9
0.07,6.46,1.5,65,27,1,1,0,0,0,0,0,6.46E9,1500000000,6.5E10,2.7E10,1.0557005916975485E10,7.142811844641505E9,3.6065386925573006E9
0.71,5.13,4.21,145,23,1,1,0,0,0,0,0,5.13E9,4.21E9,1.45E11,2.3E10,1.0443740010742804E11,2.942286040509408E10,1.025908174573982E10
0.72,6.7700000000000005,3.4400000000000004,93,38,1,1,0,0,0,0,0,6.77E9,3.44E9,9.3E10,3.8E10,6.885539368319247E10,3.2551134712313847E10,1.5595342084859863E10
0.61,7.87,1.87,52,17,1,1,0,0,0,0,0,7.87E9,1870000000,5.2E10,1.7E10,3.478911562765167E10,2.0765024476090416E10,8.907622185728E9
0.39,7.170000000000001,1.62,142,11,1,1,0,0,0,0,0,7.17E9,1620000000,1.42E11,1.1E10,5.975303875969586E10,1.4402646541413916E10,5.362367405113908E9
0.73,8.47,4.61,64,46,1,1,0,0,0,0,0,8.470000000000001E9,4.61E9,6.4E10,4.6E10,4.900679330049054E10,3.202613352832465E10,2.00275574054746E10
0.34,9.950000000000001,1.11,51,45,1,1,0,0,0,0,0,9.95E9,1110000000,5.1E10,4.5E10,2.3906643025095264E10,1.5492983697320665E10,8.712171255516151E9
0.27,9.100000000000001,2.24,105,6,1,1,0,0,0,0,0,9.1E9,2.24E9,1.05E11,6.0E9,3.499233767568338E10,1.3935476008700577E10,4.900717492007566E9
0.06,8.63,4.470000000000001,93,12,1,1,0,0,0,0,0,8.63E9,4.47E9,9.3E10,1.2E10,1.3691218954113419E10,9.413151027658434E9,4.56608397688335E9
0.08,8.2,2.5700000000000003,126.00000000000001,24,1,1,0,0,0,0,0,8.199999999999999E9,2.57E9,1.26E11,2.4E10,1.7622173606439487E10,9.26944844835417E9,4.592745248242425E9
0.09,6.78,4.19,144,34,1,1,0,0,0,0,0,6.78E9,4.1900000000000005E9,1.44E11,3.4E10,1.9127458542043343E10,7.822001994766004E9,3.929633402730396E9
0.14,8.84,3,120.00000000000001,37,1,1,0,0,0,0,0,8.84E9,3.0E9,1.2E11,3.7E10,2.4401445696196037E10,1.096872879181899E10,5.514491678675251E9
0.07,9.9,3.77,136,42,1,1,0,0,0,0,0,9.9E9,3.77E9,1.36E11,4.2E10,1.8725289423849636E10,1.1000621723434309E10,5.529250621679836E9
0.21,6.930000000000001,3.25,66,14,1,1,0,0,0,0,0,6.93E9,3.25E9,6.6E10,1.4E10,1.933393929093945E10,9.476447558160278E9,4.470506494333051E9
0.43,9.200000000000001,3.7600000000000002,63.00000000000001,34,1,1,0,0,0,0,0,9.2E9,3.76E9,6.3E10,3.4E10,3.2333709109618847E10,1.7444333534712646E10,9.121760921545328E9
0.18,6.29,1.34,149,44,1,1,0,0,0,0,0,6.29E9,1340000000,1.49E11,4.4E10,3.197622473111917E10,8.477410066014543E9,4.308057434987944E9
0.18,8.58,3.27,70,41,1,1,0,0,0,0,0,8.58E9,3.27E9,7.0E10,4.1E10,1.9634922065745945E10,1.1091873940176386E10,5.756308778213461E9
0.15,6.91,4.94,89,35,1,1,0,0,0,0,0,6.91E9,4.94E9,8.9E10,3.5E10,1.9222744920454563E10,8.69961489473509E9,4.425058732380087E9
0.53,7.1000000000000005,1.33,103,39,1,1,0,0,0,0,0,7.1E9,1330000000,1.03E11,3.9E10,5.7926651881576454E10,1.8993249241268867E10,9.339909784903645E9
0.38,9.82,4.550000000000001,92,40,1,1,0,0,0,0,0,9.82E9,4.55E9,9.2E10,4.0E10,4.104800732788328E10,1.792830245053498E10,9.080481685894485E9
0.59,8.58,4.79,104,44,1,1,0,0,0,0,0,8.58E9,4.79E9,1.04E11,4.4E10,6.487741441174515E10,2.5850281515376614E10,1.2799455273671217E10
0.52,7.23,3.43,137,49,1,1,0,0,0,0,0,7.23E9,3.43E9,1.37E11,4.9E10,7.470993781993483E10,1.9593650778441658E10,9.68089058114752E9
0.36,5.48,2.68,56,28,1,1,0,0,0,0,0,5.48E9,2.68E9,5.6E10,2.8E10,2.3666971311350235E10,9.748608417573957E9,5.053780014061615E9
0.47,7.250000000000001,3.43,101,17,1,1,0,0,0,0,0,7.25E9,3.43E9,1.01E11,1.7E10,5.131194592738871E10,1.6737137766569637E10,6.832647859451773E9
0.37,5.98,3.64,102,36,1,1,0,0,0,0,0,5.98E9,3.64E9,1.02E11,3.6E10,4.150695326717591E10,1.1391722545886578E10,5.734440493923513E9
0.72,9.34,3,97,12,1,1,0,0,0,0,0,9.34E9,3.0E9,9.7E10,1.2E10,7.24549902607518E10,3.9397500673267876E10,9.10371598855073E9
0.15,7.380000000000001,3.08,91,46,1,1,0,0,0,0,0,7.38E9,3.08E9,9.1E10,4.6E10,1.9922230856013283E10,9.277716656912285E9,4.771203666168137E9
0.68,8.54,4.45,64,44,1,1,0,0,0,0,0,8.539999999999999E9,4.45E9,6.4E10,4.4E10,4.625265051623418E10,2.7943082843740425E10,1.6427879193157858E10
0.4,8.1,1.1,62.00000000000001,41,1,1,0,0,0,0,0,8.1E9,1100000000,6.2E10,4.1E10,2.965972890255159E10,1.487439102269894E10,8.03673030553493E9
0.46,7.28,1.0700000000000003,149,36,1,1,0,0,0,0,0,7.28E9,1.0700000000000001E9,1.49E11,3.6E10,7.247038024702728E10,1.715773537851271E10,8.083205898251967E9
0.53,7.82,2.39,78,24,1,1,0,0,0,0,0,7.82E9,2.39E9,7.8E10,2.4E10,4.501514524536285E10,1.949486757209149E10,8.8341644458254E9
0.17,6.15,2.83,52,21,1,1,0,0,0,0,0,6.15E9,2.83E9,5.2E10,2.1E10,1.3944022031920813E10,7.8467592044260235E9,3.9665146596620445E9
0.66,7.5600000000000005,2.73,80,24,1,1,0,0,0,0,0,7.56E9,2.73E9,8.0E10,2.4E10,5.537020878881054E10,2.6646772534573494E10,1.1228234121352713E10
0.39,6.340000000000001,3.0500000000000003,141,7,1,1,0,0,0,0,0,6.34E9,3.05E9,1.41E11,7.0E9,5.8856739580255035E10,1.2839315172605679E10,4.2628037320008206E9
0.1,9.110000000000001,2.19,107,41,1,1,0,0,0,0,0,9.11E9,2.19E9,1.07E11,4.1E10,1.8897144149176502E10,1.057156708994261E10,5.347601416458493E9
0.31,9.09,1.6800000000000002,71,22,1,1,0,0,0,0,0,9.09E9,1680000000,7.1E10,2.2E10,2.8281609112951523E10,1.436760777397329E10,6.876077482208398E9
0.3,6.61,3.22,98,36,1,1,0,0,0,0,0,6.61E9,3.22E9,9.8E10,3.6E10,3.4026298737381294E10,1.0872381954266869E10,5.508234008064251E9
0.38,8.57,3,115.00000000000001,11,1,1,0,0,0,0,0,8.57E9,3.0E9,1.15E11,1.1E10,4.901289143318988E10,1.630699200023612E10,6.005007075075408E9
0.18,9.22,1.1300000000000001,101,45,1,1,0,0,0,0,0,9.22E9,1130000000,1.01E11,4.5E10,2.5739386944795673E10,1.210624858521047E10,6.193880961701716E9
0.17,5.37,3.7100000000000004,95,9,1,1,0,0,0,0,0,5.37E9,3.71E9,9.5E10,9.0E9,2.0606165541520317E10,7.058433670107284E9,3.228370619080302E9
0.71,6.37,3.5900000000000003,70,35,1,1,0,0,0,0,0,6.37E9,3.59E9,7.0E10,3.5E10,5.15471635732407E10,2.6891682445485584E10,1.3973387808094505E10
0.51,8.43,4.1,107,36,1,1,0,0,0,0,0,8.43E9,4.0999999999999995E9,1.07E11,3.6E10,5.8700355691534035E10,2.1024636943738625E10,1.0035060653448866E10
0.14,8.12,1.1800000000000002,148,17,1,1,0,0,0,0,0,8.119999999999999E9,1180000000,1.48E11,1.7E10,2.7701999069956993E10,1.0151972275780504E10,4.82450462057935E9
0.7,8.72,1.31,73,7,1,1,0,0,0,0,0,8.72E9,1310000000,7.3E10,7.0E9,5.3715809353520935E10,3.1291960023657345E10,6.062321092278463E9
0.64,7.99,3.89,65,41,1,1,0,0,0,0,0,7.99E9,3.89E9,6.5E10,4.1E10,4.447615010348446E10,2.438382749022559E10,1.3606576882750349E10
0.09,5.9,3.0700000000000003,75,16,1,1,0,0,0,0,0,5.9E9,3.07E9,7.5E10,1.6E10,1.2117820920199823E10,6.753050480018986E9,3.3400313192898903E9
0.19,7.28,2.21,72,46,1,1,0,0,0,0,0,7.28E9,2.21E9,7.2E10,4.6E10,1.9576045952764954E10,9.66351647972394E9,5.049527583641624E9
0.66,6.41,4.5600000000000005,146,22,1,1,0,0,0,0,0,6.41E9,4.56E9,1.46E11,2.2E10,9.853903153487561E10,2.773471069696814E10,9.85776503787667E9
0.52,5.21,1.59,133,11,1,1,0,0,0,0,0,5.21E9,1590000000,1.33E11,1.1E10,7.166034485304407E10,1.4585974318687357E10,5.098083171968117E9
0.26,7.050000000000001,1.1500000000000001,75,32,1,1,0,0,0,0,0,7.05E9,1150000000,7.5E10,3.2E10,2.471654812674839E10,1.0549714140344788E10,5.383480924659093E9
0.56,7.2,1.81,96,6,1,1,0,0,0,0,0,7.2E9,1810000000,9.6E10,6.0E9,5.692765939428462E10,2.042368408754599E10,4.774680765152857E9
0.48,5.74,2.79,123.00000000000001,34,1,1,0,0,0,0,0,5.74E9,2.79E9,1.23E11,3.4E10,6.2024092242937035E10,1.4258024745310225E10,6.859785811968203E9
0.2,6.54,1.57,60.00000000000001,6,1,1,0,0,0,0,0,6.54E9,1570000000,6.0E10,6.0E9,1.7231344296794693E10,8.78177924688497E9,3.6793337349252715E9
0.61,8.44,4.29,92,9,1,1,0,0,0,0,0,8.439999999999999E9,4.29E9,9.2E10,9.0E9,5.941125088014951E10,2.6021608740611946E10,6.6255724396223345E9
0.09,6.95,1.0700000000000003,57,21,1,1,0,0,0,0,0,6.95E9,1.0700000000000001E9,5.7E10,2.1E10,1.1453646031100544E10,7.873783826931489E9,3.9539850596512356E9
0.27,9.31,4.34,103,39,1,1,0,0,0,0,0,9.31E9,4.34E9,1.03E11,3.9E10,3.46056529866321E10,1.4213751578806656E10,7.169620613243578E9
0.2,9.440000000000001,4.19,61.00000000000001,6,1,1,0,0,0,0,0,9.44E9,4.1900000000000005E9,6.1E10,6.0E9,1.9751367615259342E10,1.236710520984931E10,4.950941638330608E9
0.73,5.590000000000001,3.52,102,44,1,1,0,0,0,0,0,5.59E9,3.52E9,1.02E11,4.4E10,7.59691147498453E10,3.1520112552574757E10,1.561455177817262E10
0.69,9.32,2.9000000000000004,149,24,1,1,0,0,0,0,0,9.32E9,2.9E9,1.49E11,2.4E10,1.0569881182229953E11,4.149469083204951E10,1.331856574593693E10
0.52,5.71,3,94,45,1,1,0,0,0,0,0,5.71E9,3.0E9,9.4E10,4.5E10,5.162048555427503E10,1.518859599049908E10,7.840555196078955E9
0.13,8.05,2.8200000000000003,134,24,1,1,0,0,0,0,0,8.050000000000001E9,2.82E9,1.34E11,2.4E10,2.442039541310347E10,9.8777405702557E9,4.847275392499438E9
0.72,5.0200000000000005,1.1500000000000001,88,30.000000000000004,1,1,0,0,0,0,0,5.02E9,1150000000,8.8E10,3.0E10,6.476540145899118E10,2.6437089363424248E10,1.1892622818654518E10
0.11,8.28,4.06,98,22,1,1,0,0,0,0,0,8.279999999999999E9,4.0599999999999995E9,9.8E10,2.2E10,1.8147328832157364E10,9.759761790327887E9,4.813105529980939E9
0.49,7.37,3.14,146,7,1,1,0,0,0,0,0,7.37E9,3.14E9,1.46E11,7.0E9,7.529823472667847E10,1.8599701415233738E10,5.008930350410194E9
0.68,8.74,1.85,63.00000000000001,43,1,1,0,0,0,0,0,8.74E9,1850000000,6.3E10,4.3E10,4.563665375066389E10,2.810998607869835E10,1.6510568916163984E10
0.29,6.46,3.3600000000000003,135,36,1,1,0,0,0,0,0,6.46E9,3.36E9,1.35E11,3.6E10,4.3735646537940315E10,1.0627640190940086E10,5.299491359491281E9
0.51,5.300000000000001,2.96,110,33,1,1,0,0,0,0,0,5.3E9,2.96E9,1.1E11,3.3E10,5.8696634277196045E10,1.414904219628094E10,6.828846856949355E9
0.7,6.8100000000000005,3.12,106,43,1,1,0,0,0,0,0,6.81E9,3.12E9,1.06E11,4.3E10,7.624270581679768E10,3.1489096514970562E10,1.5211318596422333E10
0.31,5.2700000000000005,3.4200000000000004,134,25,1,1,0,0,0,0,0,5.27E9,3.42E9,1.34E11,2.5E10,4.5175279250509186E10,9.098133676423851E9,4.404471162760424E9
0.59,7.3100000000000005,3.25,147,37,1,1,0,0,0,0,0,7.31E9,3.25E9,1.47E11,3.7E10,8.972653551005974E10,2.4298316090776787E10,1.086562548287821E10
0.68,5.03,3.9200000000000004,109,8,1,1,0,0,0,0,0,5.03E9,3.92E9,1.09E11,8.0E9,7.572931975636461E10,2.3288486182450783E10,5.360893705717612E9
0.48,8.59,1.78,62.00000000000001,44,1,1,0,0,0,0,0,8.59E9,1780000000,6.2E10,4.4E10,3.422647763944086E10,1.8018743540437424E10,9.998804115431873E9
0.16,7.800000000000001,4.29,121.00000000000001,32,1,1,0,0,0,0,0,7.8E9,4.29E9,1.21E11,3.2E10,2.5910889317696335E10,1.0041441826281189E10,5.017038591922495E9
0.31,6.180000000000001,4.91,81,11,1,1,0,0,0,0,0,6.18E9,4.91E9,8.1E10,1.1E10,2.9373606722201965E10,1.0264639231089334E10,4.393583100933887E9
0.5,7.800000000000001,1.59,64,20,1,1,0,0,0,0,0,7.8E9,1590000000,6.4E10,2.0E10,3.589980754132197E10,1.7493087710940495E10,7.914486513315226E9
0.37,9.06,2.52,80,44,1,1,0,0,0,0,0,9.06E9,2.52E9,8.0E10,4.4E10,3.530746995684924E10,1.6116344509437197E10,8.451671725558211E9
0.42,6.28,4.13,97,41,1,1,0,0,0,0,0,6.28E9,4.13E9,9.7E10,4.1E10,4.43819208888157E10,1.3162587999509111E10,6.715816174777561E9
0.3,7.380000000000001,4.87,143,22,1,1,0,0,0,0,0,7.38E9,4.87E9,1.43E11,2.2E10,4.806495930246876E10,1.2331955095468584E10,5.700480487611494E9
0.51,5.29,2.11,85,35,1,1,0,0,0,0,0,5.29E9,2.1099999999999998E9,8.5E10,3.5E10,4.594182157081045E10,1.367885182608077E10,6.890140183739331E9
0.38,9,2.27,143,13,1,1,0,0,0,0,0,9.0E9,2.27E9,1.43E11,1.3E10,5.991935968872065E10,1.7395661259973007E10,6.541010169116555E9
0.37,9.64,2.5100000000000002,93,37,1,1,0,0,0,0,0,9.64E9,2.51E9,9.3E10,3.7E10,4.04828121709068E10,1.734548096344514E10,8.675727077162987E9
0.14,6.83,4.7,70,6,1,1,0,0,0,0,0,6.83E9,4.7E9,7.0E10,6.0E9,1.5673257661250639E10,8.396180040562354E9,3.6880598521779685E9
0.34,8.07,1.36,123.00000000000001,41,1,1,0,0,0,0,0,8.07E9,1360000000,1.23E11,4.1E10,4.714520051184419E10,1.4354502680743958E10,7.17124669915116E9
0.24,7.250000000000001,1.62,74,31.000000000000004,1,1,0,0,0,0,0,7.25E9,1620000000,7.4E10,3.1E10,2.3269590253901695E10,1.0459241238909763E10,5.32449122635664E9
0.29,6.880000000000001,1.52,77,28,1,1,0,0,0,0,0,6.88E9,1520000000,7.7E10,2.8E10,2.7214279886379536E10,1.0886361902620564E10,5.458686677363951E9
0.73,8.060000000000002,4.3500000000000005,127.00000000000001,43,1,1,0,0,0,0,0,8.060000000000001E9,4.35E9,1.27E11,4.3E10,9.488597145863443E10,4.28153530216794E10,1.88926376374217E10
0.2,5.96,1.1500000000000001,89,20,1,1,0,0,0,0,0,5.96E9,1150000000,8.9E10,2.0E10,2.256698151972166E10,8.200148638592051E9,4.016830092268813E9
0.53,5.3500000000000005,1.2000000000000002,51,48,1,1,0,0,0,0,0,5.35E9,1200000000,5.1E10,4.8E10,2.9544334292498028E10,1.3216991054184843E10,7.683302210681822E9
0.07,7.69,3.25,96,10,1,1,0,0,0,0,0,7.69E9,3.25E9,9.6E10,1.0E10,1.3870501933503933E10,8.533157609979423E9,4.0920670454294667E9
0.63,7.920000000000001,2.79,119.00000000000001,13,1,1,0,0,0,0,0,7.92E9,2.79E9,1.19E11,1.3E10,7.78999206806873E10,2.807498787409656E10,8.050091953250236E9
0.54,7.44,2.1400000000000006,136,38,1,1,0,0,0,0,0,7.44E9,2.1400000000000002E9,1.36E11,3.8E10,7.68619245159789E10,2.1143841212111008E10,9.850164220878746E9
0.73,9.22,2.6100000000000003,56,19,1,1,0,0,0,0,0,9.22E9,2.61E9,5.6E10,1.9E10,4.336931011323073E10,3.0715247531622715E10,1.2490035350149359E10
0.46,8.25,3.9000000000000004,136,19,1,1,0,0,0,0,0,8.25E9,3.9E9,1.36E11,1.9E10,6.7014261041499985E10,1.901149820909324E10,7.620319970204364E9
0.2,9.290000000000001,4.65,81,48,1,1,0,0,0,0,0,9.29E9,4.65E9,8.1E10,4.8E10,2.3631120536779526E10,1.243507788825224E10,6.477873220885662E9
0.55,8.96,3.5,90,24,1,1,0,0,0,0,0,8.96E9,3.5E9,9.0E10,2.4E10,5.353169472135759E10,2.3403013561894024E10,1.001962359418881E10
0.07,9.940000000000001,4.75,61.00000000000001,8,1,1,0,0,0,0,0,9.94E9,4.75E9,6.1E10,8.0E9,1.3513507345359283E10,1.086980434815126E10,5.135261413156024E9
0.34,9.81,4.510000000000001,126.00000000000001,15.000000000000002,1,1,0,0,0,0,0,9.81E9,4.51E9,1.26E11,1.5E10,4.931358951077862E10,1.720455528403769E10,6.951721733334249E9
0.25,7.880000000000001,4.25,131,16,1,1,0,0,0,0,0,7.88E9,4.25E9,1.31E11,1.6E10,3.86592126897475E10,1.189864890889596E10,5.344635156238867E9
0.12,6.260000000000001,3.1300000000000003,81,9,1,1,0,0,0,0,0,6.26E9,3.13E9,8.1E10,9.0E9,1.5227099374492836E10,7.512433700101624E9,3.515985397096774E9
0.35,6.65,1.09,91,38,1,1,0,0,0,0,0,6.65E9,1090000000,9.1E10,3.8E10,3.617212877777149E10,1.1955012782614779E10,6.10306060700237E9
0.64,9.200000000000001,4.84,116.00000000000001,29.000000000000004,1,1,0,0,0,0,0,9.2E9,4.84E9,1.16E11,2.9E10,7.755153184483235E10,3.2215914389638317E10,1.3028764673228308E10
0.13,6.19,2.8800000000000003,150,43,1,1,0,0,0,0,0,6.19E9,2.88E9,1.5E11,4.3E10,2.4881755334837116E10,7.64986983327301E9,3.8802728754099436E9
0.74,5.510000000000001,3.39,60.00000000000001,32,1,1,0,0,0,0,0,5.51E9,3.39E9,6.0E10,3.2E10,4.5832502882020744E10,2.603430472667111E10,1.4087847925900745E10
