% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 4 2020, 22:43"
% Table,Table 2 - Global Evaluation 1
% v_f,E_m (GPa),G_m (GPa),E1_f (GPa),G12_f (GPa),loadcase,group.cp11,group.cp22,group.cp33,group.cp12,group.cp23,group.cp13,Resin Young's modulus (Pa),Resin shear modulus (Pa),"Fiber Young's modulus, 11 direction (Pa)","Fiber shear modulus, 12 direction (Pa)","Elasticity matrix, 11 component (N/m^2)","Elasticity matrix, 22 component (N/m^2)","Elasticity matrix, 44 component (N/m^2)"
0.21,5.1000000000000005,2.7,91,22,1,1,0,0,0,0,0,5.1E9,2.7E9,9.1E10,2.2E10,2.3137893760047543E10,7.189138319573237E9,3.5684535002848496E9
0.55,9.9,4.8100000000000005,100,49,1,1,0,0,0,0,0,9.9E9,4.81E9,1.0E11,4.9E10,5.9454660595773544E10,2.5908424638963295E10,1.3307005639303413E10
0.51,8.88,3.52,81,31.000000000000004,1,1,0,0,0,0,0,8.88E9,3.52E9,8.1E10,3.1E10,4.566094808356449E10,2.0803224741323727E10,1.0040218194986656E10
0.1,5.2700000000000005,3.1500000000000004,70,34,1,1,0,0,0,0,0,5.27E9,3.15E9,7.0E10,3.4E10,1.174177283293465E10,6.131968223534536E9,3.128715207140757E9
0.54,6.5600000000000005,3.3200000000000003,143,49,1,1,0,0,0,0,0,6.56E9,3.32E9,1.43E11,4.9E10,8.023709537327512E10,1.90807195241632E10,9.383235843614769E9
0.24,7.2,2.6,113,10,1,1,0,0,0,0,0,7.2E9,2.6E9,1.13E11,1.0E10,3.259135050070994E10,1.064861824671043E10,4.517028960653304E9
0.68,7.94,2.3000000000000003,78,36,1,1,0,0,0,0,0,7.94E9,2.3E9,7.8E10,3.6E10,5.5580611163445496E10,2.898997896234788E10,1.450991152215214E10
0.62,7.6000000000000005,4.15,141,39,1,1,0,0,0,0,0,7.6E9,4.1500000000000005E9,1.41E11,3.9E10,9.030743351817885E10,2.7381399049850616E10,1.2251160515021523E10
0.33,9.43,3.23,135,5,1,1,0,0,0,0,0,9.43E9,3.23E9,1.35E11,5.0E9,5.086703999412797E10,1.6372531596222628E10,4.807181573700791E9
0.62,6.41,1.1400000000000001,116.00000000000001,31.000000000000004,1,1,0,0,0,0,0,6.41E9,1140000000,1.16E11,3.1E10,7.43553346268123E10,2.2978925680397728E10,1.0143873619271381E10
0.19,7.86,1.6600000000000001,55,22,1,1,0,0,0,0,0,7.86E9,1660000000,5.5E10,2.2E10,1.6816050769501375E10,1.0210588735771698E10,5.129982879878272E9
0.42,6.15,3.37,74,40,1,1,0,0,0,0,0,6.15E9,3.37E9,7.4E10,4.0E10,3.464664167279495E10,1.252860041594513E10,6.573548624525835E9
0.34,7.800000000000001,4.79,75,34,1,1,0,0,0,0,0,7.8E9,4.79E9,7.5E10,3.4E10,3.0647415606227898E10,1.3290845264010328E10,6.795830118460546E9
0.7,9.01,3.04,148,33,1,1,0,0,0,0,0,9.01E9,3.04E9,1.48E11,3.3E10,1.0630258777411522E11,4.223794437458819E10,1.5839930703475338E10
0.63,5.86,2.87,96,40,1,1,0,0,0,0,0,5.86E9,2.87E9,9.6E10,4.0E10,6.2647811051193535E10,2.1269680104280525E10,1.0543984679838587E10
0.4,5.680000000000001,4.24,143,22,1,1,0,0,0,0,0,5.68E9,4.24E9,1.43E11,2.2E10,6.060730929506508E10,1.1853713640027649E10,5.391897893322775E9
0.13,6.69,2.8000000000000003,81,36,1,1,0,0,0,0,0,6.69E9,2.8E9,8.1E10,3.6E10,1.6348468511825447E10,8.1413608055985775E9,4.154397266992298E9
0.06,5.94,2.66,143,49,1,1,0,0,0,0,0,5.94E9,2.66E9,1.43E11,4.9E10,1.4162006376592918E10,6.533367000363243E9,3.303667317330394E9
0.69,5.44,4.25,93,17,1,1,0,0,0,0,0,5.44E9,4.25E9,9.3E10,1.7E10,6.5856156666621445E10,2.473998458488446E10,8.604934541358498E9
0.41,8.44,3.9800000000000004,65,27,1,1,0,0,0,0,0,8.439999999999999E9,3.98E9,6.5E10,2.7E10,3.162930840905587E10,1.5790072215714598E10,7.846825638550124E9
0.64,9.530000000000001,4.95,126.00000000000001,37,1,1,0,0,0,0,0,9.53E9,4.95E9,1.26E11,3.7E10,8.407028945826494E10,3.3829157603919437E10,1.4688777408372168E10
0.12,6.420000000000001,4.63,60.00000000000001,18,1,1,0,0,0,0,0,6.42E9,4.63E9,6.0E10,1.8E10,1.2848380999751354E10,7.630210732025561E9,3.7964411138928895E9
0.61,5.5600000000000005,2.64,99,25,1,1,0,0,0,0,0,5.56E9,2.64E9,9.9E10,2.5E10,6.255800960730622E10,1.9243447003398777E10,8.38199676722536E9
0.09,8.610000000000001,3.3200000000000003,106,23,1,1,0,0,0,0,0,8.61E9,3.32E9,1.06E11,2.3E10,1.737343820215033E10,9.848717256548271E9,4.870672213289799E9
0.49,6.8100000000000005,3.97,140,9,1,1,0,0,0,0,0,6.81E9,3.97E9,1.4E11,9.0E9,7.207265298780864E10,1.7256296660745052E10,5.3460290777822895E9
0.73,6.37,2.7,118.00000000000001,22,1,1,0,0,0,0,0,6.37E9,2.7E9,1.18E11,2.2E10,8.785968550389252E10,3.580143722957984E10,1.1842461663530788E10
0.33,7.49,2.7800000000000002,122.00000000000001,11,1,1,0,0,0,0,0,7.49E9,2.78E9,1.22E11,1.1E10,4.527733339355455E10,1.31283011863691E10,5.198480331104946E9
0.51,6.11,2.5900000000000003,79,8,1,1,0,0,0,0,0,6.11E9,2.59E9,7.9E10,8.0E9,4.3283645385875626E10,1.5273232311146708E10,4.870629149503236E9
0.2,5.9,1.9400000000000002,143,39,1,1,0,0,0,0,0,5.9E9,1940000000,1.43E11,3.9E10,3.3318318482709496E10,8.246618420528397E9,4.175246093070797E9
0.67,7.66,1.53,78,47,1,1,0,0,0,0,0,7.66E9,1530000000,7.8E10,4.7E10,5.478761314766095E10,2.7528031954693623E10,1.5186660267778805E10
0.74,6.46,3.99,141,46,1,1,0,0,0,0,0,6.46E9,3.99E9,1.41E11,4.6E10,1.0601936020732808E11,4.118397104496453E10,1.823124284340374E10
0.57,7.840000000000001,1.57,62.00000000000001,7,1,1,0,0,0,0,0,7.84E9,1570000000,6.2E10,7.0E9,3.871098855684107E10,2.0105380360709606E10,5.426541837493441E9
0.5,6.94,2.6500000000000004,137,20,1,1,0,0,0,0,0,6.94E9,2.65E9,1.37E11,2.0E10,7.196955459415546E10,1.7954944703734882E10,7.298928925471186E9
0.23,8.83,3.35,66,8,1,1,0,0,0,0,0,8.83E9,3.35E9,6.6E10,8.0E9,2.197876367392123E10,1.2240985655081516E10,5.043247868208044E9
0.38,9.32,1.5,66,12,1,1,0,0,0,0,0,9.32E9,1500000000,6.6E10,1.2E10,3.085812916797267E10,1.632251740268156E10,6.536977084318028E9
0.24,8.53,1.6500000000000001,54,15.000000000000002,1,1,0,0,0,0,0,8.529999999999999E9,1650000000,5.4E10,1.5E10,1.9442520880820076E10,1.18209086832933E10,5.582505116170763E9
0.66,6.5200000000000005,2.44,142,14,1,1,0,0,0,0,0,6.52E9,2.44E9,1.42E11,1.4E10,9.593644238066833E10,2.790287793246944E10,7.989859274764748E9
0.24,9.42,2.47,61.00000000000001,30.000000000000004,1,1,0,0,0,0,0,9.42E9,2.47E9,6.1E10,3.0E10,2.1798883378556824E10,1.308390794475321E10,6.7079826699170475E9
0.73,8.73,2.89,80,15.000000000000002,1,1,0,0,0,0,0,8.73E9,2.89E9,8.0E10,1.5E10,6.075696305562988E10,3.604056757742912E10,1.0490305629522343E10
0.2,8.97,1.4100000000000001,52,6,1,1,0,0,0,0,0,8.97E9,1410000000,5.2E10,6.0E9,1.757547224349812E10,1.1644967948640192E10,4.751927903983711E9
0.26,9.31,4.1,100,36,1,1,0,0,0,0,0,9.31E9,4.0999999999999995E9,1.0E11,3.6E10,3.288879690056304E10,1.3941383966853447E10,6.992016153060124E9
0.57,9.17,1.04,146,9,1,1,0,0,0,0,0,9.17E9,1040000000,1.46E11,9.0E9,8.716256579368521E10,2.760440445698458E10,6.678762097280883E9
0.06,9.17,4.3100000000000005,119.00000000000001,30.000000000000004,1,1,0,0,0,0,0,9.17E9,4.31E9,1.19E11,3.0E10,1.5758522970485003E10,1.0027137533744284E10,5.008248758005541E9
0.07,9.21,4.9,91,31.000000000000004,1,1,0,0,0,0,0,9.21E9,4.9E9,9.1E10,3.1E10,1.4934190520420443E10,1.0180104253882608E10,5.109414993170196E9
0.56,9.23,1.9800000000000002,96,45,1,1,0,0,0,0,0,9.23E9,1980000000,9.6E10,4.5E10,5.7820867196325E10,2.4892982018401608E10,1.2645231045051413E10
0.4,5.930000000000001,3.2100000000000004,90,11,1,1,0,0,0,0,0,5.93E9,3.21E9,9.0E10,1.1E10,3.955757713653586E10,1.1893922744805128E10,4.743862984333171E9
0.2,6.48,3.2100000000000004,51,28,1,1,0,0,0,0,0,6.48E9,3.21E9,5.1E10,2.8E10,1.5383453998859423E10,8.615147331444506E9,4.461302123673934E9
0.06,5.19,2.4000000000000004,129,21,1,1,0,0,0,0,0,5.19E9,2.4E9,1.29E11,2.1E10,1.261716032590207E10,5.709710539522018E9,2.85001475583011E9
0.65,6.3500000000000005,2.25,116.00000000000001,37,1,1,0,0,0,0,0,6.35E9,2.25E9,1.16E11,3.7E10,7.76220118427715E10,2.5277750398868317E10,1.1605243415694813E10
0.43,9.55,2.52,133,40,1,1,0,0,0,0,0,9.55E9,2.52E9,1.33E11,4.0E10,6.26328325056911E10,2.0215118119279137E10,9.705924965390594E9
0.56,9.91,4.69,112,5,1,1,0,0,0,0,0,9.91E9,4.69E9,1.12E11,5.0E9,6.708000841737326E10,2.7156003339755856E10,4.980149599199288E9
0.51,9.860000000000001,4.550000000000001,97,7,1,1,0,0,0,0,0,9.86E9,4.55E9,9.7E10,7.0E9,5.430109560819044E10,2.3436741122137745E10,5.887887224086811E9
0.64,6.7700000000000005,2.3600000000000003,132,7,1,1,0,0,0,0,0,6.77E9,2.36E9,1.32E11,7.0E9,8.691665102975653E10,2.624971612243871E10,5.341433670391559E9
0.32,5.48,4.24,71,11,1,1,0,0,0,0,0,5.48E9,4.24E9,7.1E10,1.1E10,2.644586370904425E10,9.263994028977865E9,4.047268485102045E9
0.35,9.73,1.86,138,39,1,1,0,0,0,0,0,9.73E9,1860000000,1.38E11,3.9E10,5.462393548158181E10,1.7545471980672817E10,8.521477490158971E9
0.63,8.44,1.26,118.00000000000001,43,1,1,0,0,0,0,0,8.439999999999999E9,1260000000,1.18E11,4.3E10,7.746232725422232E10,2.9494070043438435E10,1.3946673316187418E10
0.38,5.58,2.1,99,27,1,1,0,0,0,0,0,5.58E9,2100000000,9.9E10,2.7E10,4.107915361304427E10,1.0884794408044535E10,5.298771676221287E9
0.62,6.78,2.17,90,9,1,1,0,0,0,0,0,6.78E9,2.17E9,9.0E10,9.0E9,5.837604659916469E10,2.2621613251522778E10,6.071238479881885E9
0.06,6.61,2.47,70,28,1,1,0,0,0,0,0,6.61E9,2.47E9,7.0E10,2.8E10,1.0412662973624992E10,7.2080022156221285E9,3.633643265370932E9
0.33,6.010000000000001,1.6900000000000002,76,7,1,1,0,0,0,0,0,6.01E9,1690000000,7.6E10,7.0E9,2.910610920359086E10,1.0329819144681923E10,3.917752391211641E9
0.14,7.15,3.5700000000000003,111,42,1,1,0,0,0,0,0,7.15E9,3.57E9,1.11E11,4.2E10,2.1688108458225445E10,8.90464954663541E9,4.532449800188374E9
0.13,9.68,3.06,93,22,1,1,0,0,0,0,0,9.68E9,3.06E9,9.3E10,2.2E10,2.0509546344770016E10,1.1690570588673313E10,5.717652352006834E9
0.19,6.760000000000001,1.28,83,10,1,1,0,0,0,0,0,6.76E9,1280000000,8.3E10,1.0E10,2.1244711648783268E10,9.069509480665989E9,4.081547204923961E9
0.57,7.24,4.83,62.00000000000001,28,1,1,0,0,0,0,0,7.24E9,4.83E9,6.2E10,2.8E10,3.8452986219345436E10,1.902563415453349E10,9.50169390509375E9
0.7,9.58,4.430000000000001,106,45,1,1,0,0,0,0,0,9.58E9,4.43E9,1.06E11,4.5E10,7.707371403253328E10,3.909790409104292E10,1.893163686252009E10
0.32,8.46,4.08,123.00000000000001,8,1,1,0,0,0,0,0,8.460000000000001E9,4.08E9,1.23E11,8.0E9,4.5111862431087234E10,1.4428837973297615E10,5.1561710248249E9
0.37,9.07,3.56,80,18,1,1,0,0,0,0,0,9.07E9,3.56E9,8.0E10,1.8E10,3.5313769997166664E10,1.613024669570217E10,7.116275001677013E9
0.66,9.930000000000001,1.1800000000000002,143,18,1,1,0,0,0,0,0,9.93E9,1180000000,1.43E11,1.8E10,9.775584874525613E10,3.8378987351651405E10,1.11019888223099E10
0.62,9.71,1.23,127.00000000000001,44,1,1,0,0,0,0,0,9.71E9,1230000000,1.27E11,4.4E10,8.242930193304324E10,3.2379864934477615E10,1.504607755076247E10
0.07,7.86,3.89,87,19,1,1,0,0,0,0,0,7.86E9,3.89E9,8.7E10,1.9E10,1.3398726423848894E10,8.705201987234684E9,4.309242379237796E9
0.66,9.72,2.97,75,47,1,1,0,0,0,0,0,9.72E9,2.97E9,7.5E10,4.7E10,5.2804627690011345E10,3.0570944704770454E10,1.716931319716058E10
0.47,6.140000000000001,1.29,85,14,1,1,0,0,0,0,0,6.14E9,1290000000,8.5E10,1.4E10,4.320373392860314E10,1.4162479160872143E10,5.736780659865473E9
0.41,9.32,2.1400000000000006,122.00000000000001,24,1,1,0,0,0,0,0,9.32E9,2.1400000000000002E9,1.22E11,2.4E10,5.551821907136102E10,1.8789263405816227E10,8.244638872241932E9
0.46,7.78,4.79,79,32,1,1,0,0,0,0,0,7.78E9,4.79E9,7.9E10,3.2E10,4.054078805045821E10,1.6773084817382889E10,8.330477847852681E9
0.61,6.0600000000000005,1.1500000000000001,65,41,1,1,0,0,0,0,0,6.06E9,1150000000,6.5E10,4.1E10,4.2013153753852104E10,1.8679387273228363E10,1.0250444374131077E10
0.17,5.1000000000000005,3.93,106,12,1,1,0,0,0,0,0,5.1E9,3.93E9,1.06E11,1.2E10,2.2251948051548E10,6.732389777057556E9,3.1831485234964337E9
0.18,7.9,4.4,136,37,1,1,0,0,0,0,0,7.9E9,4.4E9,1.36E11,3.7E10,3.095658600005169E10,1.0555282560695772E10,5.29332610941456E9
0.23,7.510000000000001,2.3800000000000003,136,20,1,1,0,0,0,0,0,7.51E9,2.38E9,1.36E11,2.0E10,3.706194409188587E10,1.0977993025135456E10,5.157593730185998E9
0.09,7.98,4.63,105,11,1,1,0,0,0,0,0,7.98E9,4.63E9,1.05E11,1.1E10,1.6710144389697857E10,9.139757371138422E9,4.340711528802104E9
0.44,6.130000000000001,2.31,53,24,1,1,0,0,0,0,0,6.13E9,2.31E9,5.3E10,2.4E10,2.6752540684035885E10,1.2363048820191526E10,6.261271078225534E9
0.3,5.57,4.91,80,6,1,1,0,0,0,0,0,5.57E9,4.91E9,8.0E10,6.0E9,2.789842883551362E10,9.141835073456127E9,3.4722097488709006E9
0.69,9.48,1.4100000000000001,141,8,1,1,0,0,0,0,0,9.48E9,1410000000,1.41E11,8.0E9,1.0022843449543123E11,4.101014641928833E10,6.784158566834839E9
0.38,8.67,3.43,52,42,1,1,0,0,0,0,0,8.67E9,3.43E9,5.2E10,4.2E10,2.513519296385056E10,1.4754118788587767E10,8.234409588787312E9
0.12,8.780000000000001,3.41,53,26,1,1,0,0,0,0,0,8.78E9,3.41E9,5.3E10,2.6E10,1.4085394008741001E10,1.025015965324221E10,5.209350398731467E9
0.16,9.48,4.75,95,37,1,1,0,0,0,0,0,9.48E9,4.75E9,9.5E10,3.7E10,2.31623609286873E10,1.2010126014203215E10,6.078126424398449E9
0.24,6.57,3.87,123.00000000000001,13,1,1,0,0,0,0,0,6.57E9,3.87E9,1.23E11,1.3E10,3.451248524635013E10,9.792826398633572E9,4.383448471467328E9
0.6,9.850000000000001,4.23,86,9,1,1,0,0,0,0,0,9.85E9,4.2300000000000005E9,8.6E10,9.0E9,5.553968705779434E10,2.780605935078158E10,7.031604210536519E9
0.33,5.37,4.92,70,27,1,1,0,0,0,0,0,5.37E9,4.92E9,7.0E10,2.7E10,2.6697354481829453E10,9.254305653281027E9,4.681094715077672E9
0.61,8.98,2.35,123.00000000000001,34,1,1,0,0,0,0,0,8.98E9,2.35E9,1.23E11,3.4E10,7.853172362609222E10,2.9399120440966263E10,1.2777128819628662E10
0.35,7.04,2.99,69,27,1,1,0,0,0,0,0,7.04E9,2.99E9,6.9E10,2.7E10,2.8725727316040024E10,1.2238984682411825E10,6.124136770072341E9
0.11,8.07,3.43,95,6,1,1,0,0,0,0,0,8.07E9,3.43E9,9.5E10,6.0E9,1.7630486780378056E10,9.510918709848701E9,4.212642325094768E9
0.06,5.91,1.4000000000000001,90,44,1,1,0,0,0,0,0,5.91E9,1400000000,9.0E10,4.4E10,1.0954422303252272E10,6.474342385919853E9,3.282401099226848E9
0.35,7.29,3.7500000000000004,60.00000000000001,41,1,1,0,0,0,0,0,7.29E9,3.75E9,6.0E10,4.1E10,2.5738268027643116E10,1.2404917730815897E10,6.678168888283247E9
0.51,7.82,3.74,74,19,1,1,0,0,0,0,0,7.82E9,3.74E9,7.4E10,1.9E10,4.157156883039515E10,1.8457005646942814E10,7.920356464897988E9
0.41,6.2,2.01,103,13,1,1,0,0,0,0,0,6.2E9,2.0099999999999998E9,1.03E11,1.3E10,4.588750093252532E10,1.2809156817874868E10,5.199308357807903E9
0.46,9.440000000000001,5,103,18,1,1,0,0,0,0,0,9.44E9,5.0E9,1.03E11,1.8E10,5.2477058818670975E10,2.058334446281234E10,8.214127641686156E9
0.4,7.58,2.43,131,14,1,1,0,0,0,0,0,7.58E9,2.43E9,1.31E11,1.4E10,5.694737920567622E10,1.5385129680094683E10,6.05634700341728E9
0.57,8.65,2.1500000000000004,141,7,1,1,0,0,0,0,0,8.65E9,2.15E9,1.41E11,7.0E9,8.408898328117363E10,2.6141732846471256E10,5.673622818761815E9
0.6,7.53,4.58,69,11,1,1,0,0,0,0,0,7.53E9,4.58E9,6.9E10,1.1E10,4.4411747387924835E10,2.1582352887706985E10,6.944274076838752E9
0.6,5.87,2.25,137,7,1,1,0,0,0,0,0,5.87E9,2.25E9,1.37E11,7.0E9,8.454746109327113E10,2.0559067785612125E10,4.862097095667758E9
0.14,8.88,2.5,83,7,1,1,0,0,0,0,0,8.88E9,2.5E9,8.3E10,7.0E9,1.9256163653562683E10,1.0877346060363691E10,4.727216841392232E9
0.71,8.15,1.53,56,16,1,1,0,0,0,0,0,8.15E9,1530000000,5.6E10,1.6E10,4.212339740650498E10,2.754244570449163E10,1.033164515939869E10
0.66,9.3,3.45,120.00000000000001,8,1,1,0,0,0,0,0,9.3E9,3.45E9,1.2E11,8.0E9,8.236170779063803E10,3.472090049085404E10,6.629653378125254E9
0.54,9.520000000000001,3.16,143,48,1,1,0,0,0,0,0,9.52E9,3.16E9,1.43E11,4.8E10,8.159870632178212E10,2.626203893508795E10,1.256601826506403E10
0.71,5.73,4.46,122.00000000000001,39,1,1,0,0,0,0,0,5.73E9,4.46E9,1.22E11,3.9E10,8.828145070887563E10,3.05728737671018E10,1.3726922411908146E10
0.52,9.290000000000001,2.58,70,13,1,1,0,0,0,0,0,9.29E9,2.58E9,7.0E10,1.3E10,4.085898377852721E10,2.1236336538179108E10,7.700076636366663E9
0.47,6.94,3.49,115.00000000000001,10,1,1,0,0,0,0,0,6.94E9,3.49E9,1.15E11,1.0E10,5.77275613362495E10,1.6370308795190737E10,5.527266033551907E9
0.29,8.13,4.17,114,11,1,1,0,0,0,0,0,8.130000000000001E9,4.17E9,1.14E11,1.1E10,3.883151466409266E10,1.307845164573636E10,5.3182490657963295E9
0.11,5.0600000000000005,1.76,123.00000000000001,34,1,1,0,0,0,0,0,5.06E9,1760000000,1.23E11,3.4E10,1.8030940276114956E10,6.045189950612406E9,3.059972416931778E9
0.46,9.15,2.39,99,38,1,1,0,0,0,0,0,9.15E9,2.39E9,9.9E10,3.8E10,5.0480480290051704E10,1.993033965762328E10,9.81724076210735E9
0.06,9.51,1.6800000000000002,91,11,1,1,0,0,0,0,0,9.51E9,1680000000,9.1E10,1.1E10,1.4398452445292423E10,1.0354162915905306E10,4.986744934877076E9
0.44,6.33,3.95,139,19,1,1,0,0,0,0,0,6.33E9,3.95E9,1.39E11,1.9E10,6.470406594630977E10,1.4324017041006586E10,6.092234306519112E9
0.49,5.46,4.06,79,10,1,1,0,0,0,0,0,5.46E9,4.0599999999999995E9,7.9E10,1.0E10,4.1494353190778404E10,1.3257786114405228E10,4.868818297196906E9
0.52,5.96,1.34,96,48,1,1,0,0,0,0,0,5.96E9,1340000000,9.6E10,4.8E10,5.278047932191058E10,1.5804746583770151E10,8.211544079626953E9
0.17,8.520000000000001,1.09,74,33,1,1,0,0,0,0,0,8.52E9,1090000000,7.4E10,3.3E10,1.9650917399360874E10,1.0886296649027563E10,5.546245598752373E9
0.45,9.88,4.29,91,21,1,1,0,0,0,0,0,9.88E9,4.29E9,9.1E10,2.1E10,4.638354098166898E10,2.0533691919814354E10,8.781509591901573E9
0.19,8.84,1.54,69,41,1,1,0,0,0,0,0,8.84E9,1540000000,6.9E10,4.1E10,2.026969908190506E10,1.1569855103419216E10,6.017872336254046E9
0.23,8.16,1.11,149,43,1,1,0,0,0,0,0,8.16E9,1110000000,1.49E11,4.3E10,4.055237145976705E10,1.1932126967278597E10,5.997570034222029E9
0.73,8.58,1.75,105,38,1,1,0,0,0,0,0,8.58E9,1750000000,1.05E11,3.8E10,7.8966414730638E10,4.093545772769847E10,1.8291974517132706E10
0.68,6.090000000000001,3.6300000000000003,134,8,1,1,0,0,0,0,0,6.09E9,3.63E9,1.34E11,8.0E9,9.306845522661032E10,2.8277355761435562E10,5.771315246823274E9
0.14,5.25,2.04,63.00000000000001,8,1,1,0,0,0,0,0,5.25E9,2040000000,6.3E10,8.0E9,1.3334504199964424E10,6.489477943762488E9,3.025273720883035E9
0.67,9.620000000000001,1.9400000000000002,135,42,1,1,0,0,0,0,0,9.62E9,1940000000,1.35E11,4.2E10,9.362426693575282E10,3.8343380213450584E10,1.6811309906937174E10
0.71,9.930000000000001,1.4400000000000002,115.00000000000001,21,1,1,0,0,0,0,0,9.93E9,1440000000,1.15E11,2.1E10,8.452947472219188E10,4.251152361076594E10,1.317642996516198E10
0.37,7.49,4.06,91,42,1,1,0,0,0,0,0,7.49E9,4.0599999999999995E9,9.1E10,4.2E10,3.838831147343134E10,1.3837231709493475E10,7.120905126872925E9
0.34,8.850000000000001,3.04,72,49,1,1,0,0,0,0,0,8.85E9,3.04E9,7.2E10,4.9E10,3.0320450834308224E10,1.4781682395787548E10,7.944140561529355E9
0.45,8.97,2.93,66,44,1,1,0,0,0,0,0,8.97E9,2.93E9,6.6E10,4.4E10,3.463317730384242E10,1.788009790957215E10,9.749863012636898E9
0.32,7.970000000000001,2.89,76,14,1,1,0,0,0,0,0,7.97E9,2.89E9,7.6E10,1.4E10,2.973904317306583E10,1.3098155143196468E10,5.715331168185994E9
0.16,9.870000000000001,3.0700000000000003,91,29.000000000000004,1,1,0,0,0,0,0,9.87E9,3.07E9,9.1E10,2.9E10,2.2850003995117542E10,1.2456806439274414E10,6.198539431788306E9
0.5,5.9,2.7600000000000002,79,15.000000000000002,1,1,0,0,0,0,0,5.9E9,2.76E9,7.9E10,1.5E10,4.244974966302151E10,1.4497541407683405E10,5.970432645738816E9
0.22,8.18,1.4100000000000001,52,20,1,1,0,0,0,0,0,8.18E9,1410000000,5.2E10,2.0E10,1.7819808833532978E10,1.1014642833405287E10,5.481198274130205E9
0.51,7.960000000000001,2.69,99,25,1,1,0,0,0,0,0,7.96E9,2.69E9,9.9E10,2.5E10,5.4390081992340004E10,1.9780785828241E10,8.736197319437714E9
0.68,7.5600000000000005,3.7600000000000002,84,37,1,1,0,0,0,0,0,7.56E9,3.76E9,8.4E10,3.7E10,5.953899396689641E10,2.8895060813354343E10,1.42516659985506E10
0.69,9.64,4.25,124.00000000000001,33,1,1,0,0,0,0,0,9.64E9,4.25E9,1.24E11,3.3E10,8.854808218955524E10,4.006097267416949E10,1.5956597896846527E10
0.56,5.1000000000000005,2.9400000000000004,112,9,1,1,0,0,0,0,0,5.1E9,2.94E9,1.12E11,9.0E9,6.496358996780407E10,1.5689763725385086E10,4.903115488956229E9
0.17,6.37,3.81,104,16,1,1,0,0,0,0,0,6.37E9,3.81E9,1.04E11,1.6E10,2.2966082174049313E10,8.352918970340117E9,4.001216933892845E9
0.34,7.880000000000001,2.5500000000000003,126.00000000000001,24,1,1,0,0,0,0,0,7.88E9,2.55E9,1.26E11,2.4E10,4.803977274323949E10,1.4066463902669308E10,6.492100243519793E9
0.23,7,3.7800000000000002,150,38,1,1,0,0,0,0,0,7.0E9,3.78E9,1.5E11,3.8E10,3.988915874708329E10,1.0296421060084517E10,5.156425967564066E9
0.57,7.99,1.8,115.00000000000001,32,1,1,0,0,0,0,0,7.99E9,1800000000,1.15E11,3.2E10,6.89852822319271E10,2.3654107762599644E10,1.0597906832930048E10
0.31,7.45,1.6800000000000002,69,41,1,1,0,0,0,0,0,7.45E9,1680000000,6.9E10,4.1E10,2.653001197552141E10,1.199758854868409E10,6.327457139823357E9
0.36,5.680000000000001,2.97,91,47,1,1,0,0,0,0,0,5.68E9,2.97E9,9.1E10,4.7E10,3.63948137813627E10,1.0551555079693901E10,5.516520981620387E9
0.71,9.270000000000001,1.1600000000000001,113,37,1,1,0,0,0,0,0,9.27E9,1160000000,1.13E11,3.7E10,8.291807759583914E10,4.071530212113929E10,1.7517278353441822E10
0.62,7.28,2.29,110,17,1,1,0,0,0,0,0,7.28E9,2.29E9,1.1E11,1.7E10,7.09659637948859E10,2.5078623691419056E10,8.683158251887352E9
0.07,9.58,4.45,82,20,1,1,0,0,0,0,0,9.58E9,4.45E9,8.2E10,2.0E10,1.4648417605773815E10,1.0559423588378716E10,5.22012197899151E9
0.23,9.040000000000001,1.49,127.00000000000001,42,1,1,0,0,0,0,0,9.04E9,1490000000,1.27E11,4.2E10,3.617010606473569E10,1.3065278510534946E10,6.578018518548051E9
0.46,8,2.58,139,13,1,1,0,0,0,0,0,8.0E9,2.58E9,1.39E11,1.3E10,6.825924222990917E10,1.8540655966950176E10,6.588673056428323E9
0.32,5.1000000000000005,2.62,76,33,1,1,0,0,0,0,0,5.1E9,2.62E9,7.6E10,3.3E10,2.7787419696249138E10,8.714446019289259E9,4.482196903826662E9
0.59,9.17,1.8,93,30.000000000000004,1,1,0,0,0,0,0,9.17E9,1800000000,9.3E10,3.0E10,5.862936124528374E10,2.641878809666887E10,1.1866327816359812E10
0.42,6.48,1.33,93,30.000000000000004,1,1,0,0,0,0,0,6.48E9,1330000000,9.3E10,3.0E10,4.281794306692706E10,1.3475921223093395E10,6.581823327074978E9
0.13,9.25,1.8,87,9,1,1,0,0,0,0,0,9.25E9,1800000000,8.7E10,9.0E9,1.935558347529207E10,1.1162558666237282E10,5.027937215740177E9
0.59,7.36,3.85,98,16,1,1,0,0,0,0,0,7.36E9,3.85E9,9.8E10,1.6E10,6.083723371968457E10,2.2613668951616318E10,8.093807431527109E9
0.18,6.010000000000001,1.03,132,43,1,1,0,0,0,0,0,6.01E9,1030000000,1.32E11,4.3E10,2.8686809300706978E10,8.085207203675449E9,4.120513962001148E9
0.31,9.26,1.85,72,21,1,1,0,0,0,0,0,9.26E9,1850000000,7.2E10,2.1E10,2.870890253093551E10,1.4628481091586067E10,6.919527093402296E9
0.05,6.24,4.38,77,27,1,1,0,0,0,0,0,6.24E9,4.38E9,7.7E10,2.7E10,9.777314413992752E9,6.717162569608126E9,3.3777844951586175E9
